pIDs:           3,       4,     5
TICKETS:        30,     20,     30
    TIME (s)         TICKS DATA:
        1,      1,      0,      0,
        2,      51,     29,     16,
        3,      100,    47,     30,
        4,      147,    78,     55,
        5,      195,    105,    64,
        6,      243,    134,    80,
        7,      292,    168,    101,
        8,      341,    218,    125,
        9,      392,    251,    148,
        10,     441,    276,    170,
        11,     488,    301,    185,
        12,     537,    344,    201,
        13,     588,    387,    217,
        14,     636,    431,    231,
        15,     686,    454,    242,
        16,     735,    478,    253,
        17,     783,    499,    267,
        18,     832,    532,    278,
        19,     883,    572,    296,
        20,     933,    605,    316,
        21,     982,    629,    328,
        22,     1031,   667,    343,
        23,     1079,   719,    362,
        24,     1128,   747,    382,
        25,     1177,   781,    396,
        26,     1226,   799,    408,
        27,     1275,   825,    418,
        28,     1325,   867,    437,
        29,     1373,   900,    453,
        30,     1422,   930,    468,
